Estado, Sul , Norte , Leste , Oeste , Pegar Passageiro , Deixar Passageiro 
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,-0.75,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,-1.3312499999999998,-1.321875,-0.75,-1.19375,-10.315624999999999,-10.3578125
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.5,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.5,0.0,0.0,-0.5,0.0,-0.5
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.75,0.0,0.0,0.0,0.0,0.0
22,-0.5,-0.75,-0.5,-0.5,-5.0,-7.5
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,-1.5899999999999999,-0.5,-0.5,-0.975,-7.5,-5.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.5,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.5,-0.5,-0.75,-0.5,0.0,-8.75
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,-0.875,-1.4375,-0.5,0.0,-5.0
42,-0.5,-0.5,-0.975,0.0,-8.75,-7.5
43,-0.9375,-1.38125,-1.321875,-0.975,-10.40625,-8.975
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.725,-0.975,-0.9375,-0.875,-5.0,-8.75
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,-1.6109375000000001,-1.765625,-1.19375,-1.76943359375,-9.825,-10.80439453125
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.5,0.0,-0.5,0.0,-8.75,-7.5
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0
61,-1.20125,-0.875,-1.6125,-0.75,-10.193750000000001,-7.8375
62,-1.20125,-0.5,-0.875,-0.5,-7.5,-5.0
63,-0.9375,-1.5828125000000002,-1.1625,-0.9921875,-10.064062499999999,-10.71171875
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
66,-1.3781249999999998,-1.321875,-0.75,-1.07625,-5.0,-5.0
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,-0.725,-0.5,-0.875,-1.8707812499999998,-8.75,-8.75
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
76,-0.75,-0.5,0.0,-0.75,-7.5,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
78,-0.5,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
81,-1.5328125,-1.42625,-1.9348828125,-1.275,-10.916093750000002,-10.94630859375
82,-0.875,-0.5,-0.75,-0.75,-5.0,-5.0
83,-0.96875,-1.8186523437500002,-1.6265625,-1.7000000000000002,-10.5328125,-10.41875
84,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0
