Estado, Sul , Norte , Leste , Oeste , Pegar Passageiro , Deixar Passageiro 
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.7527328473993131,-0.6369428963902032,-1.7272558032599905,-0.6247949593550245,1.6226146699999986,-8.685113047607778
2,3.4012192240399766,0.5289224011886307,4.290315285717622,5.581392787830656,7.714700000000001,-3.6128121093778396
3,-0.8126499963680552,1.578449181921445,-1.689765031651268,1.3555610470163368,2.9140162999999983,-7.443041097825658
4,-5.0005618838543775,-5.954320480562477,-5.872621861486773,-5.871071381155453,-14.002827126586684,-14.018872688586029
5,0.0,0.0,0.0,0.0,0.0,0.0
6,-5.343480476062441,-6.885334776715409,-6.8706992942015095,-6.879744659749633,-15.081257947733015,-14.071885203315503
7,-3.2288605892798334,-5.402256945494172,-5.437615832189165,-5.483275768095671,-13.73404134084796,-12.742619531570433
8,1.6222824467575514,-4.963702491772009,-4.8094307690215095,-4.905369400880056,-10.749747770119654,-12.450300359638673
9,-2.3821198530747663,-4.659625212903443,-6.170552014296411,-4.681149705351622,-13.73678171343216,-13.099693891171082
10,0.0,0.0,0.0,0.0,0.0,0.0
11,-5.265177709298088,-5.427496220291211,-3.420800572244418,-5.272814496722022,-13.09241557528722,-12.840622456677247
12,-3.860743323812393,-5.714556121022282,-5.7380845172120125,-5.762376024174843,-14.169403444858307,-13.966192370457016
13,-3.1122442294897406,-5.315753490074518,-5.325122190640382,-5.45009041318379,-12.888207340248687,-11.2040675390625
14,-6.5045663364812425,-6.637207674423431,-3.828416781288621,-6.576616796830489,-14.265666062428442,-14.617995417911342
15,0.0,0.0,0.0,0.0,0.0,0.0
16,14.285546788035504,16.999840719494227,14.299995929535832,16.99791567888812,7.999982594919857,20.0
17,2.9140162999999983,0.999694470730706,-2.667093335871094,-3.3202748339843757,-7.408580792086801,0.21202851093017464
18,9.683,2.483665234375,3.592378201042022,7.047456027405238,-1.5676158706759518,5.900520439095597
19,4.348906999999999,2.8593752405290385,0.04956546324055555,1.503621258203124,-6.269158523723284,1.5445030844915772
20,0.0,0.0,0.0,0.0,0.0,0.0
21,-4.502960799345557,-4.146885227370606,-4.132717631938476,0.4511862668823827,-12.0133122265625,-11.986317340628663
22,1.2770503716233172,2.823867138244271,4.110847404032687,5.94323,-7.438726088938713,-5.549974147272033
23,-3.810952095722657,-3.779289270263672,-3.858359385253906,1.6226132067237378,-12.548800840185546,-12.932734329797363
24,-4.456811078976922,-5.773101920644638,-5.693749610913166,-5.852516868030442,-13.454125995220458,-14.06379388252984
25,0.0,0.0,0.0,0.0,0.0,0.0
26,-4.5515324437713485,-6.271373705437452,-6.826731379348702,-6.784592335984447,-14.525874704401202,-15.35812859863607
27,-2.4233965067931003,-5.467391146009669,-5.26228646526387,-4.715435030082846,-13.270843607152177,-13.604091243053507
28,-4.943058370737272,-4.874461869410787,-4.99240257925485,0.3845162977422434,-12.696000011988037,-12.936175879395265
29,-3.338781968772012,-6.1853588791867065,-6.330811370147021,-6.240484945504303,-15.15854880177507,-14.51442579068139
30,0.0,0.0,0.0,0.0,0.0,0.0
31,-2.37787739167513,-5.431059354529522,-5.326568641095044,-5.264211418624029,-13.428407818639968,-13.091467232025147
32,-3.19620865894191,-5.666278567003269,-5.724309863672131,-5.773481137890068,-13.213280542115376,-13.526818586533222
33,-1.7300401835603796,-5.163515268008482,-5.312376239526626,-5.330970270852131,-10.878188096698686,-12.821729688593749
34,-3.1370052084540436,-6.640266608717376,-6.713116927005732,-6.584556405917377,-14.562375038203202,-13.06718802270842
35,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.975,6.8936526824609246,-0.5,16.999999892386246,3.8230466085803454,2.758422088623047
37,-3.3741748144531254,-3.612769254101563,-3.4658848964843756,0.39529425249999894,-11.743204958984375,-11.79183398046875
38,7.194443509427938,-2.59301328125,-2.825375390625,-2.54043984375,-8.576044218749999,-9.434000000000001
39,-2.3791953125,-2.6479118935509605,-1.6585368708189927,2.481572949481909,-11.252882812500001,-11.63077712792596
40,0.0,0.0,0.0,0.0,0.0,0.0
41,-4.1147987991349275,-5.387817225283907,-5.843725421073222,-5.847369762942567,-13.429531657669418,-12.247167053947937
42,-0.5857281143659313,-5.061876040472251,-4.93242606129575,-3.38197707333903,-13.773561099424972,-11.186830250375245
43,-3.1532870593063853,-5.5154996759764625,-5.544156214992732,-5.558234933585172,-13.514129011296482,-13.239946378291396
44,-4.136849615196991,-4.341638768094361,-1.060592431723245,-4.274363218758301,-9.34625,-9.145111854228515
45,0.0,0.0,0.0,0.0,0.0,0.0
46,-3.9109843542381526,-5.619720308050216,-0.5861384721724526,-5.456922376659905,-13.798828945105642,-12.640069275410156
47,-3.8741968946029663,-3.4102035149969385,2.9131224309176575,-3.291070751953126,-11.200238758009093,-10.56946875
48,-0.6523367173149051,-5.26942384912036,-5.432128683964451,-5.48800412634357,-13.764933786272955,-13.336976703244819
49,-3.823650627891488,-6.919227714731827,-6.976374506332542,-6.933955289032053,-14.019787074362979,-15.247778354984144
50,0.0,0.0,0.0,0.0,0.0,0.0
51,-3.217805902100683,-5.6964013075082764,-5.811952297192095,-5.792044536910745,-14.198105852006822,-14.03589898469509
52,-3.056608806901873,-4.7972846849740876,-4.898605743529679,-4.970585492175216,-13.891462237279633,-12.707648575991211
53,-1.2964945561344403,-5.13038065398249,-5.002185323195265,-5.082975172221458,-9.749140624999999,-12.530580382809752
54,-6.0923802359335895,-6.162955892963563,-2.6013694459631838,-6.083113589038465,-13.977203150049931,-13.097030587051027
55,0.0,0.0,0.0,0.0,0.0,0.0
56,1.48000435720231,-2.4229484374999997,-2.7040173828125003,-2.267578125,-11.0437296875,-9.898125
57,9.45102137057432,-1.42625,-1.359375,-1.42625,-7.93875,-5.0
58,-3.5197224160156253,-3.3309755449218756,-3.7314971061035154,-3.623641567578125,-10.892540537109376,-8.52509296875
59,-1.715625,-1.42625,-1.9941874999999998,-1.64375,-9.504312500000001,-10.939859375000001
60,0.0,0.0,0.0,0.0,0.0,0.0
61,-4.53590572569628,-6.218777870266994,-6.082621594717569,-6.012995754830591,-14.264814928784789,-14.69356843010777
62,-4.997681243204518,-5.123250208844701,-5.133389194408508,-1.5450842430878353,-11.218670559199218,-13.505349555993956
63,-5.591864290805546,-5.5917140093988,-5.772727889729302,-4.393487276534392,-12.094035355396565,-13.811040731971893
64,-3.7224249356909183,-3.941923956386719,0.4599574545823967,-4.162360933560639,-10.687600105984258,-12.623276612091077
65,0.0,0.0,0.0,0.0,0.0,0.0
66,-3.3657839405877166,-2.873862838751282,0.4603532029999988,-1.8227533208695221,-10.123563139713667,-10.441171800158397
67,-3.26290100769043,-0.10347621523536432,4.348906999999999,1.2531791159403372,-6.465441952566585,-6.7186955463487585
68,-1.8587080782476848,-5.563815241530983,-5.401198921717285,-5.426496967775365,-14.084190810237859,-13.116279614702936
69,-6.898626035530327,-6.902294713082263,-6.883360610251578,-4.5753396415516585,-15.597130884656963,-15.417824308533415
70,0.0,0.0,0.0,0.0,0.0,0.0
71,-4.776102220482457,-5.898206909073353,-5.860352045343956,-5.8731477744465685,-13.590446149724773,-13.761677757681102
72,-3.2611669823505443,-4.8351106380476665,-4.839762936711084,-5.177344624008257,-12.411727257568359,-13.078614465520019
73,0.4538563598241723,-4.857716581414351,-4.770471486450357,-5.0480311434415235,-9.734329520999456,-12.112631119164307
74,-1.5280825514608816,-6.060961548514005,-6.192937078943348,-6.051302882449507,-13.578230558918644,-13.959146444029177
75,0.0,0.0,0.0,0.0,0.0,0.0
76,3.7838267708046236,-2.8695529296875004,-2.6767173461914067,-2.6501296874999998,-11.4796171875,-11.7633062109375
77,-1.0875,1.7125000000000001,16.999915875494416,1.4205413681350891,-6.1625,-5.0
78,2.209996684399382,-4.1385027522875975,-4.1436254630346685,-3.8238372156738283,-12.514543537329255,-12.458207534667968
79,8.578972275240595,-1.925541650390625,-2.248828125,-1.9299374999999999,-10.458510400390626,-10.6960625
80,0.0,0.0,0.0,0.0,0.0,0.0
81,-5.196543368509122,-6.29284574457767,-6.273993280194134,-6.1678975586851275,-12.94762606422422,-13.715840916490889
82,-5.253335968129733,-5.231713805376613,-5.107127181984452,-2.5079126516253867,-13.379887483543751,-13.331879521924147
83,-4.6671228560744185,-5.861335423084642,-5.940102336481187,-5.877732574244446,-12.495682073959351,-13.81693827619371
84,-1.0467612407738653,-0.02229292658270554,0.22289974079230554,-0.7444748218717215,1.6226146699999986,-9.52981216911926
85,0.0,0.0,0.0,0.0,0.0,0.0
86,-1.7019250633482352,-0.8342348544617998,-0.8584814840380067,-1.1535900005182538,1.6226146699999986,-13.589814940494085
87,-0.16427409166251805,4.232093006952538,3.795778840890637,2.5037254963835913,5.94323,-6.302524281417338
88,-2.7368915902097224,-5.538394026407873,-5.630792907022185,-5.502657638448623,-14.096837232505218,-13.532676887646925
89,-5.238646333981968,-7.097452802237276,-7.040284162772959,-7.069776402714789,-14.228797896753033,-14.447254711404945
90,0.0,0.0,0.0,0.0,0.0,0.0
91,-4.522194856654133,-6.117221154039937,-6.019373182351139,-6.037433508243454,-13.003347340984238,-11.98864727783203
92,-3.0879751959544097,-4.856475481355302,-4.774447576999384,-4.707848889391584,-11.44725132353841,-12.063821229492188
93,-0.7300143578720686,-3.312447450894415,-4.7066927700754375,-4.844209060853419,-12.188813313118652,-11.997714421875
94,-3.424524051415413,-6.0744820342919414,-6.0162721514100514,-6.142017068402633,-14.248605347409708,-12.376186598876952
95,0.0,0.0,0.0,0.0,0.0,0.0
96,2.9140162999999983,1.081011644538573,1.541803757160872,0.6890757296842998,-7.908274242467499,0.01627841595834928
97,14.299538564681987,16.96514892578125,16.99948093164126,14.285751152034806,7.99973869297533,20.0
98,2.9140162999999983,1.168605726451684,1.529559193229644,-2.274188030241414,-8.123559024029287,-0.04653104436867289
99,7.714700000000001,3.9602403297424322,5.323186784905937,3.52085303570819,-3.6400229685815453,4.249533666158085
100,0.0,0.0,0.0,0.0,0.0,0.0
101,-2.780247602548727,0.4603532029999988,-1.9014706404633708,-0.9170511803815747,-12.74963202663574,-10.872993744196876
102,-3.533094541784668,5.943229999469457,1.3500720875374195,0.5180964132491568,-12.42828085144043,-8.042249811925378
103,-0.7993729961165479,1.6226146699999986,-1.1167780229335431,-1.7905271893439874,-8.8135733985,-8.93515349653056
104,-5.835336507162008,-5.888809929647227,-4.440955172218311,-5.906163091631349,-13.796026590704047,-13.973520757061069
105,0.0,0.0,0.0,0.0,0.0,0.0
106,-4.516191106872194,-6.874948107462129,-5.551931379654272,-6.539595402932349,-12.80066541162287,-13.478235542908642
107,-3.7596510364394358,-5.108442893140598,-2.377167490468841,-5.106120270045746,-13.32524959587149,-13.63094872298456
108,2.914016296732867,-4.370333737487714,-4.532171941077605,-2.2873596215397023,-13.465335360692249,-13.404190580250992
109,-1.527113907234503,-5.390619442092163,-4.648206523012001,-5.98384414855264,-14.273108316805757,-12.497392877410311
110,0.0,0.0,0.0,0.0,0.0,0.0
111,-4.990877585326535,-5.009783670577631,-2.378995621028579,-5.059576564379882,-13.746921602572233,-13.679859894627523
112,-3.137180703132614,-5.644650446000985,-5.503852569406517,-5.6695468304691445,-13.928488993062782,-13.397629276684956
113,-1.6002286968686896,-5.058050696849561,-5.044012662757236,-5.107372047517909,-13.304721198956663,-13.983307954495928
114,-6.538236988891359,-4.65837702365825,-6.5818039004717805,-6.600225008295271,-13.653007959893603,-14.60068873819038
